fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[49.265955023269434, 49.0, 49.0]",1681.9599999999998,113.62417063492065,27,0.02,0.95,49,5.0
"[49.21046529602721, 49.4230047619932, 49.53846153846154]",1817.9599999999998,119.23409469507098,31,0.02,0.9,49,7.222222222222222
"[49.0, 49.17595367045157, 49.84615384615385]",1453.8,115.61461599832914,35,0.02,0.9,49,6.111111111111112
"[49.053106929784306, 49.13472551391628, 50.0]",1389.08,115.02204979114454,37,0.02,1.0,49,7.222222222222222
"[49.2076388324254, 49.120302901477146, 49.92857142857143]",1698.9599999999998,115.00332364243941,36,0.02,0.95,49,8.333333333333332
"[49.10968726389239, 49.155879610180456, 49.63157894736842]",1242.6399999999999,115.67526436925648,30,0.02,0.85,49,8.333333333333334
"[49.23282239559431, 49.1321392013128, 49.714285714285715]",1780.6799999999998,114.99434285714285,33,0.02,0.9,49,7.222222222222222
"[49.10470858191831, 49.13055868643923, 49.92857142857143]",1879.4,115.38316507936509,36,0.02,0.95,49,6.666666666666667
"[49.26267236668702, 49.035006355437076, 50.0]",2107.56,115.55041971595654,37,0.02,1.0,49,6.111111111111111
"[49.26267236668702, 49.035006355437076, 50.0]",2107.56,115.55041971595656,37,0.02,1.0,49,6.111111111111111
"[49.20941716383662, 49.1275310189344, 49.857142857142854]",2107.56,115.35111971595654,35,0.02,0.9,49,7.777777777777778
"[49.338039821300534, 49.0, 49.07692307692308]",1763.6799999999998,113.40448984962408,25,0.02,0.85,49,6.666666666666667
"[49.19741603384129, 49.340436602309886, 49.69230769230769]",1896.4,117.19211808688388,33,0.02,0.9,49,7.777777777777779
"[49.272360488483535, 49.12285023223416, 50.0]",1978.1200000000001,115.5656373015873,37,0.02,1.0,49,5.555555555555555
"[49.284424047728315, 49.153039707476154, 49.92857142857143]",2271.0,115.62110814536341,36,0.02,0.95,49,9.444444444444445
"[49.32834045835878, 49.032641654183976, 49.8]",2271.0,115.53245814536339,36,0.02,0.95,49,5.555555555555555
"[49.30101179221454, 49.09886483114678, 49.92857142857143]",1780.6799999999998,115.26944285714288,36,0.02,0.95,49,6.666666666666667
"[49.82899938928353, 49.46764242342679, 49.2]",3517.0800000000004,118.83659519632413,33,0.02,0.8,49,6.111111111111112
"[49.71769550537677, 49.0, 49.23076923076923]",2662.6,113.50700121136174,27,0.02,0.95,49,6.666666666666667
"[49.449544626593806, 50.0, 49.54545454545455]",2311.56,124.59830580618211,32,0.02,0.85,49,6.111111111111111
"[49.219843759611244, 49.685423217635005, 49.8]",1834.9599999999998,120.89099770258981,34,0.02,0.95,49,5.555555555555556
"[49.36637365193838, 49.19215123959323, 50.0]",2025.8400000000001,115.14545050125314,37,0.02,1.0,49,6.111111111111111
"[49.498001170046805, 49.21282132420138, 49.63636363636363]",2614.88,115.5250880116959,33,0.02,0.9,49,6.666666666666667
"[49.48813003891485, 49.383589488182686, 49.5]",2403.7200000000003,117.17753638262323,31,0.02,0.8,49,6.111111111111112
"[49.41372706791117, 49.16266821939005, 49.90909090909091]",2386.7200000000003,115.58418337510443,36,0.02,0.95,49,5.555555555555556
"[49.32972923359339, 49.31959706163528, 49.92857142857143]",2369.7200000000003,117.38398036758562,36,0.02,0.95,49,7.777777777777778
"[49.30553847687732, 49.40332049947811, 49.733333333333334]",1879.4,117.05476507936507,33,0.02,0.9,49,5.0
"[49.29244386737182, 49.43079632159395, 49.916666666666664]",1930.4,119.1246241019215,36,0.02,0.95,49,7.222222222222222
"[49.387178168493456, 49.22877876043526, 49.69230769230769]",2420.7200000000003,117.36883939014203,33,0.02,0.8,49,7.222222222222222
"[49.378064491318476, 49.20909369172782, 49.888888888888886]",2141.56,115.37312573099413,35,0.02,0.9,49,6.666666666666667
"[49.452877769747666, 49.18769949569218, 49.69230769230769]",2223.2799999999997,115.12699494569759,33,0.02,0.9,49,6.666666666666667
"[49.367232675539235, 49.31874855099542, 49.92857142857143]",2451.44,117.37499958228905,36,0.02,0.95,49,6.111111111111111
