fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.6, 0.010111971587811243, 0.0]",126.72,140.6293,4,1.0,0.2,0,25.000000000000004
"[0.4, 0.02559810967806245, 0.0]",126.71999999999998,140.63205,4,1.0,0.2,0,28.333333333333336
"[0.3333333333333333, 0.025668871556923184, 0.0]",126.72,140.38394999999997,4,1.0,0.2,0,31.66666666666667
"[0.0, 0.025668871556924624, 0.0]",126.71999999999998,140.38395,4,1.0,0.2,0,26.111111111111114
"[0.0, 0.025668871556924624, 0.0]",126.71999999999998,140.38395,4,1.0,0.2,0,30.55555555555556
"[0.0, 5.6119477599764564e-14, 0.2]",126.71999999999998,140.37095,5,1.0,0.25,0,27.77777777777778
"[0.0, 5.6119477599764564e-14, 0.2]",126.71999999999998,140.37095,5,1.0,0.25,0,27.77777777777778
"[0.0, 0.0, 0.25]",126.71999999999998,140.1256,5,1.0,0.25,0,29.444444444444446
"[1.0, 0.016963528413916542, 0.0]",126.72000000000003,140.38395,4,1.0,0.2,0,23.88888888888889
"[0.4, 0.025668871556923184, 0.0]",126.71999999999998,140.38394999999997,4,1.0,0.2,0,28.888888888888893
"[0.4, 0.025668871556923184, 0.0]",126.71999999999998,140.38394999999997,4,1.0,0.2,0,30.000000000000004
"[0.3333333333333333, 0.025668871556924624, 0.0]",126.72,140.38395,4,1.0,0.2,0,25.555555555555557
"[0.3333333333333333, 0.025668871556924624, 0.0]",126.72,140.38395,4,1.0,0.2,0,27.777777777777782
"[0.3333333333333333, 0.025668871556924624, 0.0]",126.72,140.38395,4,1.0,0.2,0,25.55555555555556
"[0.3333333333333333, 0.025668871556924624, 0.0]",126.72,140.38395,4,1.0,0.2,0,25.000000000000004
"[0.0, 0.025668871556979302, 0.0]",126.71999999999998,140.38395,4,1.0,0.2,0,28.333333333333336
"[0.0, 0.025668871556979302, 0.0]",126.71999999999998,140.38395,4,1.0,0.2,0,27.77777777777778
"[0.3333333333333333, 0.0, 0.25]",126.72,140.37095,5,1.0,0.25,0,29.44444444444445
"[0.3333333333333333, 0.0, 0.25]",126.72,140.12559999999996,5,1.0,0.25,0,29.444444444444446
"[0.0, 3.780488085980546e-14, 0.25]",126.71999999999998,140.1256,5,1.0,0.25,0,27.77777777777778
"[0.0, 0.0, 0.3333333333333333]",126.71999999999998,140.37369999999999,5,1.0,0.25,0,31.111111111111118
"[0.5, 0.025668871556923184, 0.0]",126.71999999999998,140.38394999999997,4,1.0,0.2,0,30.000000000000004
"[0.3333333333333333, 0.025668871556979302, 0.0]",126.72,140.38395,4,1.0,0.2,0,26.66666666666667
"[0.0, 0.3371175050564383, 0.0]",126.71999999999998,140.6293,4,1.0,0.2,0,30.55555555555556
"[0.4, 0.0, 0.25]",126.71999999999998,140.61905,5,1.0,0.25,0,31.111111111111114
"[0.4, 0.0, 0.25]",126.71999999999998,140.61905,5,1.0,0.25,0,29.44444444444445
"[0.4, 0.0, 0.25]",126.71999999999998,140.37095,5,1.0,0.25,0,26.66666666666667
"[0.3333333333333333, 0.0036378067332762613, 0.25]",126.72,140.3737,5,1.0,0.25,0,31.111111111111118
"[0.0, 0.005429953598617677, 0.25]",126.71999999999996,140.37369999999999,5,1.0,0.25,0,29.44444444444445
"[0.0, 5.6119477599764564e-14, 0.3333333333333333]",126.71999999999998,140.37095,5,1.0,0.25,0,27.77777777777778
"[0.0, 0.0, 0.4]",126.71999999999998,140.37094999999997,6,1.0,0.3,0,24.444444444444446
"[0.6666666666666666, 0.2553622615399636, 0.0]",126.71999999999998,140.38394999999997,4,1.0,0.2,0,30.000000000000004
