fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[49.16839823861291, 49.0, 49.0]",1681.9599999999998,113.82347063492061,26,0.02,0.9,49,8.333333333333332
"[49.107536055917436, 49.28209849812721, 49.785714285714285]",1307.3600000000001,115.46518057644111,34,0.02,0.95,49,7.222222222222223
"[49.109192073801346, 49.02518069723398, 49.09090909090909]",1681.9599999999998,113.62417063492062,27,0.02,0.95,49,8.333333333333334
"[49.24910472530352, 49.0, 49.0]",1681.9599999999998,113.41017063492063,27,0.02,0.95,49,5.555555555555556
"[49.12423676012461, 49.20652405199561, 49.166666666666664]",1603.52,117.40914724310775,32,0.02,0.85,49,8.333333333333334
"[49.12043835318431, 49.16556869327135, 49.583333333333336]",1780.6799999999998,115.57779285714287,32,0.02,0.85,49,5.555555555555555
"[49.589047178538394, 49.0, 49.0]",2417.44,113.74264356725148,26,0.02,0.9,49,6.666666666666667
"[49.235467413954154, 49.60922413557591, 49.75]",1423.08,119.0586558061821,34,0.02,0.95,49,6.111111111111112
"[49.12866871211554, 49.347462913222145, 50.0]",1389.08,117.39859979114453,37,0.02,1.0,49,6.666666666666667
"[49.528957716394, 49.00379211300523, 49.266666666666666]",2254.0,113.76060513784462,26,0.02,0.9,49,6.666666666666667
"[49.261194152296255, 49.032793119369714, 49.214285714285715]",1681.9599999999998,113.62257063492066,26,0.02,0.9,49,6.666666666666667
"[49.25741537745725, 49.53205517566075, 49.666666666666664]",1930.4,118.95122410192145,35,0.02,0.9,49,7.777777777777779
"[49.21138452416247, 49.174221143925905, 50.0]",1780.6799999999998,115.58634285714284,37,0.02,1.0,49,5.555555555555555
"[49.15510958829608, 49.31677499332999, 49.916666666666664]",1831.6799999999998,117.19745187969924,36,0.02,0.95,49,7.777777777777778
"[49.16460753806779, 49.210153718504216, 50.0]",1797.6799999999998,115.45249586466166,37,0.02,1.0,49,7.777777777777779
"[49.233525436836, 49.603895725291665, 49.857142857142854]",1947.4,118.96897710944025,35,0.02,0.9,49,6.666666666666667
"[49.93320564637751, 50.0, 49.375]",3455.6400000000003,125.81792481203009,32,0.02,0.85,49,5.555555555555555
"[49.72276817651267, 49.00867515675362, 49.857142857142854]",2958.7599999999998,115.21891787802842,36,0.02,0.95,49,6.111111111111112
"[49.131802403204276, 49.37543673030517, 50.0]",1620.52,119.28405025062656,37,0.02,1.0,49,6.666666666666667
"[49.62775386762824, 49.49207249425567, 49.5]",2567.16,118.64287481203007,34,0.02,0.85,49,7.222222222222222
"[49.35247179248575, 49.52972615536428, 49.666666666666664]",2093.84,118.93326253132832,35,0.02,0.9,49,6.666666666666667
"[49.340109324672895, 49.99443312550854, 49.72727272727273]",2505.7200000000003,124.092954427736,34,0.02,0.95,49,4.444444444444445
"[49.54257811859935, 49.428967043605276, 49.63636363636363]",2288.0,117.1948111528822,33,0.02,0.8,49,6.666666666666666
"[49.27514069601457, 49.27602299069221, 49.92857142857143]",1715.9599999999998,115.42027664995824,36,0.02,0.95,49,8.333333333333334
"[49.5222979250542, 49.176440879319124, 49.72727272727273]",2369.7200000000003,115.57003036758563,34,0.02,0.85,49,4.444444444444445
"[49.22674168885835, 49.33972015732258, 49.916666666666664]",1552.52,117.16818822055139,36,0.02,0.95,49,8.333333333333334
"[49.41331835320105, 49.393709137688845, 49.666666666666664]",2339.0,118.91127017543859,35,0.02,0.9,49,10.0
"[49.35589578816971, 49.13868667761992, 49.90909090909091]",2025.8400000000001,115.1628005012531,36,0.02,0.95,49,7.777777777777779
"[49.366038255125915, 49.14457361260439, 49.785714285714285]",1389.08,115.29794979114452,34,0.02,0.95,49,8.333333333333334
"[49.56488279762876, 49.13969985110515, 49.833333333333336]",2434.44,115.30069657477024,35,0.02,0.9,49,7.222222222222221
"[49.2945235892692, 49.17521593701689, 49.75]",1698.9599999999998,115.48177364243944,34,0.02,0.95,49,7.777777777777778
"[49.344865680985436, 49.17400328053791, 49.92857142857143]",2189.2799999999997,115.12963893065998,36,0.02,0.95,49,5.555555555555556
