fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.2317927243097171, 0.45194736481160125, 0.7]",1960.0400000000002,19.51601507936508,34,1.0,0.95,0,7.777777777777779
"[0.8814889688818295, 0.3601820381995544, 0.8]",4479.64,19.41205355054302,35,1.0,0.9,0,12.222222222222221
"[0.5188802821985911, 0.22695862882155635, 1.0]",3073.4,19.261123893065996,37,1.0,1.0,0,12.777777777777777
"[0.44251338277309626, 0.3384270870127258, 0.6]",2777.2400000000002,19.387407226399333,33,1.0,0.9,0,9.444444444444445
"[0.6163192474704238, 0.43543646471581393, 0.8]",3451.28,19.497309774436093,35,1.0,0.9,0,11.666666666666668
"[0.8103514073829589, 0.6348138654616313, 1.0]",4203.76,19.723185714285712,37,1.0,1.0,0,8.646616541353383
"[0.6532340412364753, 0.2722187481795078, 0.9]",3594.44,19.312399373433585,36,1.0,0.95,0,12.222222222222221
"[0.5276474167895785, 0.473321441291834, 0.9]",3107.4,19.540229908103594,36,1.0,0.95,0,10.555555555555555
"[0.3968314544160572, 0.529091010988217, 0.5]",2600.08,19.603411612364244,32,1.0,0.85,0,11.11111111111111
"[0.3256938929171866, 0.6902094921498481, 0.9]",2324.2,19.78594377610693,36,1.0,0.95,0,10.555555555555555
"[0.574175115777748, 0.674522026209193, 0.6]",3287.84,19.768171345029238,33,1.0,0.9,0,12.777777777777777
"[0.3976772250471877, 1.0, 0.7]",2603.3599999999997,20.136907435254802,34,1.0,0.95,0,13.333333333333332
"[0.3590708900188752, 0.40164410300503556, 0.6]",2453.6400000000003,19.459026190476187,33,1.0,0.9,0,12.777777777777777
"[0.45212628799521415, 0.9713141615336461, 0.9]",2814.52,20.104409064327484,36,1.0,0.95,0,9.444444444444445
"[0.5662537518178912, 0.5600728639491985, 0.9]",3257.12,19.63851115288221,36,1.0,0.95,0,10.0
"[1.0, 0.3253204620050726, 0.8]",4939.24,19.37255864661654,35,1.0,0.9,0,9.022556390977442
"[0.7725908429857766, 0.57851140301263, 0.7]",4057.3199999999997,19.659400292397656,34,1.0,0.85,0,10.0
"[0.4934246490567594, 0.26184922228555796, 1.0]",2974.68,19.300651670843777,37,1.0,1.0,0,13.333333333333332
"[0.50572958031211, 0.3040973711902381, 0.8]",3022.4,19.348514870509607,35,1.0,0.9,0,13.333333333333332
"[0.36699225397873186, 0.29202356924951484, 0.8]",2484.3599999999997,19.33483638262323,35,1.0,0.9,0,9.444444444444445
"[0.6330077460212681, 0.31677371470456456, 0.9]",3516.0,19.362875981620718,36,1.0,0.95,0,10.555555555555555
"[0.5900178436974617, 0.3354564117841808, 0.9]",3349.28,19.384041729323307,36,1.0,0.95,0,8.88888888888889
"[0.8858725361773232, 0.27226922421758093, 0.8]",4496.64,19.312456558061818,35,1.0,0.9,0,11.11111111111111
"[0.916557507245779, 0.6162703185410403, 0.5]",4615.64,19.7021776106934,32,1.0,0.85,0,11.111111111111109
"[0.6496962445721122, 0.39309617584096834, 0.7]",3580.72,19.44934218880535,34,1.0,0.85,0,11.666666666666668
"[0.7462894392128144, 0.16213275824816722, 0.7]",3955.3199999999997,19.18768224728488,34,1.0,0.95,0,8.88888888888889
"[0.5451816859715531, 0.5111992649449999, 0.6]",3175.4,19.58314193817878,33,1.0,0.9,0,6.666666666666668
"[0.975390137489299, 0.7579454224612057, 0.8]",4843.8,19.862682247284873,35,1.0,0.9,0,10.555555555555555
"[0.6321619753901374, 0.3068913249794093, 0.8]",3512.72,19.35168015873016,35,1.0,0.9,0,8.333333333333334
"[0.7076831041845016, 0.0, 0.0]",3805.6,19.004001002506268,27,1.0,0.95,0,7.777777777777779
"[0.3336152568770435, 0.5196395295588971, 0.9]",2354.92,19.592703968253964,36,1.0,0.95,0,11.11111111111111
"[0.0, 0.5002202289082803, 0.3]",1061.1200000000001,19.570703717627403,30,1.0,0.85,0,10.555555555555557
